cycle,mean_success,std_success,mean_actions,std_actions
84,0.58,0.28205594401741574,1189.1,790.4883792806685
85,0.51,0.2998147576235848,1203.1,800.1485209356796
86,0.5,0.30550504633038933,1217.1,809.80868110931
87,0.55,0.2838231060987733,1231.1,819.4688591466493
88,0.5899999999999999,0.26012817353502227,1245.1,829.1290544233079
89,0.44000000000000006,0.3835506630304673,1259.1,838.7892663436589
90,0.53,0.34657049948186747,1273.1,848.4494943392002
91,0.4600000000000001,0.30258148581093913,1287.1,858.1097378670296
92,0.52,0.34253953543107013,1301.1,867.7699964084184
93,0.4999999999999999,0.31622776601683794,1315.1,877.4302694674817
94,0.5000000000000001,0.23570226039551584,1329.1,887.0905565699343
95,0.5199999999999999,0.3359894178227774,1343.1,896.7508572619265
96,0.51,0.3281259920619924,1357.1,906.4111711089571
97,0.52,0.34253953543107013,1371.1,916.0714976948517
98,0.5299999999999999,0.3301514803843836,1385.1,925.7318366208074
99,0.5,0.29059326290271165,1399.1,935.3921875044952
100,0.5,0.33665016461206926,1413.1,945.052549979218
